1.252	17,5	1.135	15,9	90,65	0,50
801	19,3	725	17,5	90,51	0,58
460	18,0	555	21,7	120,65	0,66
9.303	18,0	8.846	17,1	95,09	0,54
783	19,0	562	13,6	71,78	0,48
1.061	17,1	1.114	17,9	105,00	0,54
1.317	20,2	661	10,1	50,19	0,43
7.747	18,6	6.051	14,6	78,11	0,50
137.191	20,3	83.266	12,3	60,69	0,48
409	16,2	580	23,0	141,81	0,65
4.655	14,9	6.219	19,9	133,60	0,54
20.887	19,3	17.081	15,8	81,78	0,54
1.655	20,4	1.248	15,4	75,41	0,56
1.722	18,3	1.406	15,0	81,65	0,50
1.765	13,5	2.274	17,4	128,84	0,45
1.953	16,5	2.122	17,9	108,65	0,52
2.521	20,3	1.083	8,7	42,96	0,41
1.395	15,1	2.050	22,2	146,95	0,59
3.867	18,0	4.142	19,3	107,11	0,59
3.131	20,8	2.144	14,3	68,48	0,54
8.263	18,9	6.512	14,9	78,81	0,51
3.724	20,7	2.756	15,3	74,01	0,56
1.099	17,8	1.013	16,4	92,17	0,52
4.025	20,9	2.365	12,3	58,76	0,50
628	16,2	722	18,6	114,97	0,54
1.701	16,0	2.103	19,8	123,63	0,56
1.370	22,3	846	13,8	61,75	0,56
4.075	21,4	2.732	14,4	67,04	0,56
325	15,9	416	20,3	128,00	0,57
2.967	21,1	1.989	14,2	67,04	0,55
1.407	20,4	902	13,1	64,11	0,50
20.169	20,4	10.701	10,8	53,06	0,45
296	16,7	306	17,2	103,38	0,51
1.624	19,0	1.337	15,7	82,33	0,53
8.621	19,4	5.997	13,5	69,56	0,49
1.048	17,7	1.070	18,1	102,10	0,56
370	15,1	547	22,3	147,84	0,60
3.319	20,6	2.316	14,4	69,78	0,54
8.054	17,8	6.276	13,9	77,92	0,46
489	16,4	509	17,0	104,09	0,50
2.371	22,1	1.680	15,7	70,86	0,61
10.541	17,5	10.592	17,6	100,48	0,54
4.749	18,8	4.234	16,8	89,16	0,55
1.593	19,6	1.284	15,8	80,60	0,55
14.823	23,1	10.551	16,4	71,18	0,65
1.017	17,8	938	16,4	92,23	0,52
10.300	19,4	7.989	15,1	77,56	0,53
5.932	21,4	3.881	14,0	65,42	0,55
31.617	19,9	20.933	13,2	66,21	0,49
2.683	16,8	2.744	17,2	102,27	0,52
2.474	17,3	2.611	18,3	105,54	0,55
612	17,3	638	18,1	104,25	0,55
2.500	18,2	2.446	17,8	97,84	0,56
4.771	18,4	4.043	15,6	84,74	0,51
69.221	18,1	58.330	15,2	84,27	0,50
5.298	18,5	5.036	17,6	95,05	0,57
